,Open,High,Low,Close,Volume,Dividends,Stock Splits,row_num,row_weight
2021-09-01 00:00:00+00:00,3413.356201171875,3444.1005859375,3397.403076171875,3401.60302734375,0,0,0,0,1.0
2021-09-01 01:00:00+00:00,3401.612060546875,3436.218505859375,3387.408447265625,3427.62744140625,315990016,0,0,1,1.0
2021-09-01 02:00:00+00:00,3421.74951171875,3444.78466796875,3417.847412109375,3423.02001953125,255442944,0,0,2,1.0
2021-09-01 03:00:00+00:00,3417.972412109375,3443.150146484375,3412.599853515625,3443.150146484375,115654656,0,0,3,1.0
2021-09-01 04:00:00+00:00,3440.95263671875,3460.7890625,3433.13671875,3457.9599609375,292694016,0,0,4,1.0
2021-09-01 05:00:00+00:00,3468.208984375,3528.13134765625,3458.884521484375,3526.236328125,1201776640,0,0,5,1.0
2021-09-01 06:00:00+00:00,3526.503173828125,3533.496337890625,3510.87841796875,3526.662109375,292429824,0,0,6,1.0
2021-09-01 07:00:00+00:00,3522.60595703125,3543.1171875,3509.121826171875,3518.65673828125,0,0,0,7,1.0
2021-09-01 08:00:00+00:00,3522.294677734375,3538.21484375,3516.955810546875,3534.9541015625,0,0,0,8,1.0
2021-09-01 09:00:00+00:00,3535.912353515625,3554.589599609375,3532.041259765625,3543.528076171875,225701888,0,0,9,1.0
2021-09-01 10:00:00+00:00,3537.51171875,3553.284912109375,3525.92041015625,3546.640380859375,180074496,0,0,10,1.0
2021-09-01 11:00:00+00:00,3545.13671875,3557.88134765625,3530.67529296875,3532.08154296875,0,0,0,11,1.0
2021-09-01 12:00:00+00:00,3533.0908203125,3544.266845703125,3522.24169921875,3539.942138671875,0,0,0,12,1.0
2021-09-01 13:00:00+00:00,3544.6240234375,3550.111572265625,3526.14306640625,3537.754150390625,0,0,0,13,1.0
2021-09-01 14:00:00+00:00,3540.36669921875,3562.319091796875,3533.1474609375,3533.1474609375,0,0,0,14,1.0
2021-09-01 15:00:00+00:00,3532.87841796875,3579.546630859375,3532.87841796875,3579.546630859375,0,0,0,15,1.0
2021-09-01 16:00:00+00:00,3585.141845703125,3770.042236328125,3580.810546875,3729.321044921875,2459074560,0,0,16,1.0
2021-09-01 17:00:00+00:00,3740.868408203125,3740.868408203125,3691.166259765625,3691.166259765625,487968768,0,0,17,1.0
2021-09-01 18:00:00+00:00,3703.3408203125,3722.13671875,3696.36572265625,3697.41162109375,0,0,0,18,1.0
2021-09-01 19:00:00+00:00,3700.167236328125,3719.768798828125,3696.022705078125,3716.608642578125,0,0,0,19,1.0
2021-09-01 20:00:00+00:00,3715.006591796875,3736.178466796875,3715.006591796875,3728.42919921875,0,0,0,20,1.0
2021-09-01 21:00:00+00:00,3730.07177734375,3782.227294921875,3730.07177734375,3764.301513671875,233566208,0,0,21,1.0
2021-09-01 22:00:00+00:00,3767.2509765625,3796.404052734375,3760.345458984375,3766.939208984375,260894720,0,0,22,1.0
2021-09-02 00:00:00+00:00,3825.02783203125,3830.449951171875,3776.3193359375,3781.83984375,0,0,0,23,1.0
2021-09-02 01:00:00+00:00,3774.4990234375,3796.62353515625,3761.8564453125,3771.77099609375,423991296,0,0,24,1.0
2021-09-02 02:00:00+00:00,3770.67578125,3781.302490234375,3740.73681640625,3743.311767578125,0,0,0,25,1.0
2021-09-02 03:00:00+00:00,3743.344482421875,3768.724365234375,3743.344482421875,3765.73291015625,93888512,0,0,26,1.0
2021-09-02 04:00:00+00:00,3768.02880859375,3768.02880859375,3746.3388671875,3762.20458984375,0,0,0,27,1.0
2021-09-02 05:00:00+00:00,3761.15087890625,3770.736572265625,3755.5302734375,3759.371337890625,0,0,0,28,1.0
2021-09-02 06:00:00+00:00,3761.174560546875,3768.08251953125,3732.578369140625,3754.01025390625,102701056,0,0,29,1.0
2021-09-02 07:00:00+00:00,3753.85595703125,3770.88916015625,3731.62841796875,3736.564453125,0,0,0,30,1.0
2021-09-02 08:00:00+00:00,3736.28857421875,3754.6728515625,3734.362548828125,3746.1015625,0,0,0,31,1.0
2021-09-02 09:00:00+00:00,3746.811279296875,3752.29541015625,3729.41259765625,3737.6396484375,0,0,0,32,1.0
2021-09-02 10:00:00+00:00,3739.185546875,3765.239501953125,3732.80712890625,3760.660888671875,0,0,0,33,1.0
2021-09-02 11:00:00+00:00,3760.110107421875,3767.82373046875,3746.33642578125,3762.2939453125,0,0,0,34,1.0
2021-09-02 12:00:00+00:00,3761.522216796875,3793.897216796875,3761.522216796875,3775.210205078125,0,0,0,35,1.0
2021-09-02 13:00:00+00:00,3776.40478515625,3796.66943359375,3768.62646484375,3793.301025390625,0,0,0,36,1.0
2021-09-02 14:00:00+00:00,3795.02490234375,3827.737548828125,3759.800537109375,3759.800537109375,50178048,0,0,37,1.0
2021-09-02 15:00:00+00:00,3766.130859375,3775.879638671875,3745.65478515625,3756.3271484375,0,0,0,38,1.0
2021-09-02 16:00:00+00:00,3756.583740234375,3789.929443359375,3756.583740234375,3779.747314453125,0,0,0,39,1.0
2021-09-02 17:00:00+00:00,3781.785400390625,3802.169677734375,3770.76904296875,3802.169677734375,0,0,0,40,1.0
2021-09-02 18:00:00+00:00,3797.584228515625,3807.447998046875,3762.037353515625,3773.041748046875,0,0,0,41,1.0
2021-09-02 19:00:00+00:00,3777.39013671875,3789.656494140625,3771.062744140625,3779.665771484375,70211584,0,0,42,1.0
2021-09-02 20:00:00+00:00,3782.48681640625,3810.359619140625,3777.45947265625,3810.359619140625,92440576,0,0,43,1.0
2021-09-02 21:00:00+00:00,3808.310791015625,3830.71142578125,3802.98876953125,3828.654296875,0,0,0,44,1.0
2021-09-02 22:00:00+00:00,3829.254638671875,3829.254638671875,3798.064208984375,3806.84423828125,0,0,0,45,1.0
2021-09-03 00:00:00+00:00,3787.486572265625,3804.149169921875,3731.4990234375,3736.035888671875,0,0,0,46,1.0
2021-09-03 01:00:00+00:00,3732.59033203125,3744.55078125,3712.67822265625,3742.537109375,0,0,0,47,1.0
2021-09-03 02:00:00+00:00,3742.393310546875,3775.4228515625,3740.258056640625,3774.1953125,102316032,0,0,48,1.0
2021-09-03 03:00:00+00:00,3773.753173828125,3813.62060546875,3768.609619140625,3806.75634765625,74184704,0,0,49,1.0
2021-09-03 04:00:00+00:00,3807.9111328125,3823.030029296875,3801.5771484375,3811.165283203125,0,0,0,50,1.0
2021-09-03 05:00:00+00:00,3810.19873046875,3816.453369140625,3791.682373046875,3801.3369140625,0,0,0,51,1.0
2021-09-03 06:00:00+00:00,3798.697509765625,3812.725341796875,3785.2978515625,3790.97900390625,0,0,0,52,1.0
2021-09-03 07:00:00+00:00,3793.240966796875,3811.87451171875,3785.90869140625,3796.427001953125,0,0,0,53,1.0
2021-09-03 08:00:00+00:00,3794.682861328125,3895.345947265625,3791.914794921875,3895.345947265625,1022230528,0,0,54,1.0
2021-09-03 09:00:00+00:00,3890.44580078125,3968.824951171875,3885.34716796875,3962.072265625,1599744000,0,0,55,1.0
2021-09-03 10:00:00+00:00,3965.458251953125,3977.7900390625,3937.22509765625,3946.230712890625,464181248,0,0,56,1.0
2021-09-03 11:00:00+00:00,3947.909912109375,3963.612060546875,3928.41015625,3957.462646484375,537135104,0,0,57,1.0
2021-09-03 12:00:00+00:00,3956.187255859375,3969.564453125,3928.76953125,3953.51953125,495935488,0,0,58,1.0
2021-09-03 13:00:00+00:00,3953.9482421875,3965.780517578125,3944.963623046875,3961.976318359375,357873664,0,0,59,1.0
2021-09-03 14:00:00+00:00,3964.133056640625,4022.46923828125,3962.475341796875,3972.353515625,693442560,0,0,60,1.0
2021-09-03 15:00:00+00:00,3981.40673828125,3983.65234375,3956.487060546875,3970.277099609375,0,0,0,61,1.0
2021-09-03 16:00:00+00:00,3970.14453125,3983.591552734375,3959.582275390625,3972.6630859375,0,0,0,62,1.0
2021-09-03 17:00:00+00:00,3968.82177734375,3982.3212890625,3956.37841796875,3965.80810546875,0,0,0,63,1.0
2021-09-03 18:00:00+00:00,3965.30615234375,3965.30615234375,3941.494140625,3954.033447265625,0,0,0,64,1.0
